car_id,brand,model,year,mileage,engine_size,fuel_type,transmission,owner_count,accident_history,service_history,color,price
109,Nissan,Minivan,2011,246711,2.2,Petrol,Manual,5,0,Full,White,3000.0
110,Hyundai,Coupe,2014,6801,5.9,Diesel,Manual,3,0,Full,Green,42288.26
111,Kia,SUV,2013,3754,3.0,Hybrid,Manual,0,0,Partial,Blue,45400.83
112,Hyundai,Minivan,2005,105404,4.0,Diesel,Automatic,5,0,Full,Gray,20373.81
113,Jaguar,Truck,2017,17964,2.2,Diesel,Manual,3,1,Full,White,29754.67
114,Nissan,Minivan,2004,52533,3.5,Hybrid,Manual,0,0,Full,Black,30627.42
115,Volvo,Hatchback,2017,19949,1.4,Hybrid,Automatic,0,0,None,Red,40121.91
116,Ford,Hatchback,2002,24834,1.2,Hybrid,Manual,4,0,Full,Green,12832.06
117,Land Rover,Minivan,2002,15198,3.3,Diesel,CVT,5,0,None,Gray,27175.53
118,Nissan,Truck,2021,21006,3.0,Hybrid,Automatic,5,0,Full,White,40884.61
119,Jaguar,Hatchback,2021,26441,1.7,Diesel,Automatic,2,0,Full,Silver,48143.4
120,Porsche,Convertible,2009,63722,4.4,Petrol,Automatic,1,0,Partial,Silver,72370.23
121,Kia,Minivan,2018,35824,6.0,Hybrid,Automatic,4,0,Full,Gray,42527.68
122,Chevrolet,Convertible,2002,143733,3.0,Diesel,Automatic,4,0,Partial,Silver,13925.87
123,Mercedes,Minivan,2011,2139,4.1,Electric,Automatic,3,0,Partial,Black,59828.76
124,Hyundai,Sedan,2015,34965,5.8,Petrol,Automatic,5,0,Full,Green,29581.55
125,Porsche,Sedan,2016,43880,5.2,Petrol,Automatic,0,1,Partial,White,40368.58
126,Jaguar,Sedan,2006,126409,3.3,Electric,Manual,0,0,Partial,Black,43845.19
127,Toyota,Hatchback,2012,2520,4.7,Petrol,Automatic,3,0,Partial,Black,26322.53
128,Land Rover,Convertible,2023,42607,1.6,Electric,Manual,5,0,Full,Red,72139.48
129,Ford,Convertible,2001,96080,3.6,Electric,Automatic,2,0,Full,White,45694.69
130,Ford,Convertible,2003,13848,2.4,Hybrid,Manual,0,0,Full,Gray,39837.39
131,Ford,Truck,2009,104491,1.8,Diesel,Manual,4,0,None,Silver,15391.47
132,Chevrolet,Convertible,2006,961,3.1,Diesel,Automatic,4,0,Full,Green,33269.98
133,Land Rover,Truck,2023,65923,1.7,Hybrid,Automatic,5,0,Full,Red,57246.26
134,Chevrolet,Sedan,2016,135237,4.5,Hybrid,Automatic,0,0,Full,Black,46143.06
135,Hyundai,Sedan,2019,53530,3.3,Diesel,Manual,0,0,Partial,Silver,35996.86
136,Chevrolet,Hatchback,2005,28904,3.7,Electric,Manual,2,1,Full,White,26790.31
137,Tesla,Minivan,2018,2295,1.7,Diesel,Automatic,5,0,Full,Black,55761.62
138,Land Rover,Sedan,2004,126357,1.7,Electric,Automatic,0,0,Partial,Black,46921.77
139,Volvo,Minivan,2009,31771,3.9,Petrol,Automatic,2,0,Full,White,36695.74
140,Land Rover,Minivan,2008,1471,5.9,Petrol,Automatic,4,0,Full,Gray,45000.21
141,Jaguar,Hatchback,2012,58530,1.5,Diesel,CVT,2,0,Full,Red,41118.63
142,Tesla,SUV,2018,32873,2.4,Petrol,Automatic,0,0,Full,White,86981.54
143,Ford,SUV,2020,6639,5.3,Hybrid,Manual,1,0,Full,Silver,51433.58
144,Jaguar,Coupe,2023,12057,1.4,Petrol,Manual,5,0,Full,Silver,52430.85
145,Jaguar,Hatchback,2005,3333,5.4,Electric,CVT,0,0,Full,Black,62196.14
146,Hyundai,Coupe,2003,42700,3.6,Petrol,Automatic,1,0,Partial,Green,18556.03
147,Honda,Coupe,2023,48646,3.0,Diesel,Automatic,4,0,Full,Blue,40692.56
148,BMW,SUV,2002,35234,2.5,Petrol,Automatic,5,0,Full,Red,59281.62
149,Tesla,Hatchback,2002,84941,2.5,Diesel,Manual,3,1,Full,Gray,25825.68
150,Jaguar,SUV,2003,98667,2.5,Petrol,Automatic,5,0,Full,Gray,35714.35
151,BMW,Coupe,2004,47806,5.4,Petrol,Automatic,4,1,Partial,Blue,33339.58
152,BMW,Hatchback,2007,641,4.6,Hybrid,Manual,4,0,Full,Silver,57659.83
153,Tesla,Coupe,2015,59409,4.3,Petrol,Automatic,4,0,Full,Gray,65345.85
154,Honda,Convertible,2021,27064,5.0,Petrol,Automatic,2,0,Partial,Green,44027.87
155,Porsche,Minivan,2002,41684,2.3,Hybrid,Automatic,4,1,Partial,Silver,34361.14
156,Toyota,Hatchback,2023,52359,4.1,Petrol,Automatic,3,0,Partial,Red,34604.36
157,Volvo,Hatchback,2011,21557,3.3,Diesel,Automatic,0,0,Partial,Blue,50184.99
158,Toyota,Minivan,2007,124505,4.9,Petrol,Automatic,1,0,Full,Black,23919.2
159,Land Rover,Coupe,2012,7192,2.5,Petrol,Manual,5,0,None,Green,30731.66
160,Ford,Convertible,2003,55662,4.2,Diesel,Manual,5,0,None,Silver,23686.39
161,Volvo,Truck,2013,218,5.4,Petrol,Automatic,4,0,Full,Red,56311.79
162,Land Rover,Minivan,2013,129281,3.0,Hybrid,Manual,1,0,Partial,Blue,40380.86
163,Jaguar,SUV,2012,5967,1.3,Electric,Automatic,4,0,Full,Silver,54266.22
164,Ford,Coupe,2005,4984,3.6,Petrol,Automatic,2,1,Partial,White,11880.27
165,Mercedes,Minivan,2016,20248,2.7,Electric,Manual,1,0,Full,Silver,77728.04
166,Tesla,Minivan,2003,23385,4.4,Petrol,Automatic,4,0,Full,Red,55336.18
167,Kia,Hatchback,2007,12059,5.8,Petrol,Automatic,4,1,Full,Gray,19160.41
168,Volvo,SUV,2016,43988,3.4,Petrol,Automatic,3,0,Full,Silver,59722.77
169,Volvo,SUV,2002,29251,3.3,Diesel,Automatic,3,0,Full,Black,52873.73
170,Nissan,SUV,2016,1738,4.3,Diesel,Automatic,3,0,Full,Red,43793.62
171,Jaguar,Minivan,2008,19257,1.5,Petrol,Manual,2,0,Partial,Gray,27989.95
172,Porsche,Truck,2001,83150,2.3,Hybrid,Automatic,1,0,Partial,Red,60889.39
173,BMW,Sedan,2012,58511,5.6,Hybrid,Manual,2,0,Full,Silver,60129.63
174,Ford,Coupe,2019,64525,4.3,Petrol,Automatic,0,0,Partial,White,37098.65
175,Jaguar,Sedan,2001,59885,1.1,Hybrid,Automatic,4,0,Full,White,42758.51
176,Lexus,Minivan,2019,18623,2.0,Electric,Automatic,4,0,Partial,Green,55360.12
177,Honda,Sedan,2010,5249,4.4,Petrol,Automatic,4,0,Full,Black,30807.1
178,BMW,Minivan,2021,15904,4.8,Petrol,Manual,3,0,Partial,Blue,62798.03
179,Tesla,Sedan,2014,89125,5.2,Diesel,Automatic,4,0,Partial,Blue,52250.97
180,BMW,SUV,2010,196792,2.5,Diesel,Automatic,3,0,Full,Green,66976.19
181,Porsche,Convertible,2022,34045,5.7,Diesel,Automatic,0,0,Full,Black,101544.81
182,Hyundai,SUV,2002,487,3.8,Petrol,Automatic,2,0,None,Gray,21865.74
183,Nissan,SUV,2002,7543,4.5,Diesel,Automatic,2,0,Partial,White,19387.78
184,BMW,Hatchback,2011,19436,4.0,Diesel,Automatic,2,0,Full,Silver,57735.28
185,Tesla,Hatchback,2023,43206,1.6,Diesel,Automatic,3,0,Full,Green,60277.54
186,Porsche,Sedan,2004,3903,5.8,Petrol,Automatic,5,0,Partial,Red,50301.03
187,Toyota,Minivan,2019,143549,1.6,Diesel,CVT,5,0,None,Green,22429.93
188,Volvo,SUV,2006,22713,2.3,Petrol,Automatic,1,0,Full,Red,56834.06
189,Hyundai,Sedan,2006,121853,5.1,Diesel,Manual,5,0,None,White,12471.52
190,Nissan,Hatchback,2012,75825,4.1,Electric,Automatic,1,0,Full,Green,39913.46
191,Volvo,Convertible,2008,70414,5.2,Diesel,Automatic,0,0,None,White,34219.73
192,Honda,Coupe,2020,46661,3.6,Petrol,Automatic,1,1,Partial,Red,26165.38
193,Land Rover,Sedan,2012,49279,2.9,Diesel,Automatic,0,0,Full,Gray,50831.84
194,Hyundai,Convertible,2011,50806,5.6,Hybrid,Automatic,4,0,Full,Red,48249.88
195,Hyundai,Coupe,2012,49540,1.2,Hybrid,Automatic,2,1,Partial,Black,22035.47
196,Toyota,Truck,2023,40341,5.3,Diesel,Automatic,5,0,Full,Green,39823.18
197,Toyota,Sedan,2009,214935,2.2,Petrol,Manual,3,0,None,Silver,7301.76
198,Ford,Sedan,2000,65892,5.2,Diesel,CVT,0,0,Partial,Green,25621.22
199,Chevrolet,Truck,2007,75017,1.7,Diesel,Manual,5,0,Full,White,24710.19
200,BMW,Truck,2021,102967,3.9,Electric,Automatic,3,0,None,Blue,58180.01
201,Hyundai,Sedan,2015,12144,5.4,Diesel,Automatic,3,0,Full,Green,34651.54
202,Kia,Truck,2012,4376,3.4,Diesel,Automatic,2,0,Partial,White,35480.6
203,Volvo,SUV,2002,32975,4.7,Diesel,Automatic,4,0,Partial,Gray,44730.64
204,Tesla,Coupe,2002,36085,5.0,Petrol,Automatic,4,0,None,Black,36114.93
205,Audi,Coupe,2023,88357,4.7,Hybrid,Automatic,1,0,Full,Green,77271.79
206,Chevrolet,Coupe,2004,29329,5.6,Diesel,Automatic,5,0,Full,Red,33196.9
207,Kia,SUV,2010,42297,3.2,Electric,Manual,4,0,Full,Black,42283.58
208,Audi,Minivan,2006,37440,1.9,Diesel,Manual,2,0,Full,Black,56079.56
209,Nissan,Truck,2020,1947,1.2,Petrol,Automatic,5,0,Full,Gray,45075.65
210,Porsche,Convertible,2023,47753,2.2,Diesel,Automatic,3,0,Partial,Gray,76985.42
211,Volvo,Truck,2009,88025,1.7,Petrol,Manual,0,0,Full,Blue,40740.45
212,Volvo,Sedan,2009,8569,3.8,Petrol,Automatic,0,0,Full,Red,43514.63
213,Chevrolet,Hatchback,2019,45110,1.9,Petrol,Automatic,4,0,Full,Blue,32250.82
214,Hyundai,Coupe,2001,45022,1.2,Hybrid,Automatic,1,0,Full,Red,27241.91
215,Honda,Truck,2002,8967,1.2,Diesel,Automatic,0,0,Partial,Silver,27654.13
216,Chevrolet,Convertible,2007,6588,5.2,Petrol,Automatic,1,0,Full,Black,38038.64
217,Audi,Sedan,2010,195731,4.0,Diesel,Manual,0,0,Full,Red,49284.29
218,Chevrolet,SUV,2012,25020,2.8,Diesel,Automatic,1,0,Full,Gray,52865.6
219,Kia,Minivan,2006,12901,5.5,Electric,Automatic,1,0,Full,Silver,41818.14
220,Volvo,SUV,2012,9396,1.4,Diesel,Automatic,3,0,Full,Blue,46532.54
221,Honda,Convertible,2001,55071,5.9,Hybrid,Manual,2,1,Partial,Silver,21332.16
222,BMW,Sedan,2005,47009,4.1,Petrol,Automatic,0,0,Partial,Gray,48526.68
223,Lexus,Coupe,2008,51578,1.9,Hybrid,Automatic,5,0,Full,Red,49105.95
224,Ford,Truck,2019,4606,4.4,Hybrid,Automatic,4,0,Full,Gray,47865.81
225,Mercedes,Sedan,2001,111996,4.8,Electric,Automatic,2,0,None,Red,48872.22
226,Toyota,Minivan,2017,24654,3.1,Petrol,Automatic,3,0,Full,Gray,21026.85
227,Chevrolet,SUV,2015,18797,5.3,Diesel,Automatic,3,0,Full,Gray,46232.16
228,Nissan,Minivan,2011,31028,1.8,Diesel,Manual,3,0,Full,White,31803.74
229,Land Rover,Minivan,2006,24720,2.4,Petrol,CVT,4,0,Partial,Red,30506.45
230,Porsche,Convertible,2006,99599,1.5,Diesel,Automatic,0,0,None,Black,48829.69
231,Lexus,Convertible,2016,132437,2.1,Electric,Automatic,0,1,Full,White,44185.96
232,Ford,Truck,2012,18081,2.2,Diesel,Automatic,1,0,Full,White,34641.1
233,Ford,Convertible,2010,99731,5.6,Electric,Manual,1,0,Partial,White,49038.26
234,Ford,Convertible,2005,76053,1.4,Petrol,Automatic,5,0,None,White,10128.58
235,Ford,Sedan,2022,133543,3.1,Hybrid,Manual,1,0,Partial,Black,35911.34
236,Audi,Coupe,2013,14101,3.7,Diesel,Automatic,4,0,Partial,White,52911.57
237,Nissan,Truck,2005,43014,5.5,Diesel,Manual,2,0,Partial,Blue,21823.54
238,Nissan,Sedan,2005,16047,6.0,Electric,Manual,0,1,Full,Black,29966.1
239,Honda,Coupe,2001,86890,4.8,Petrol,Manual,1,0,Full,Blue,14516.17
240,Kia,Minivan,2021,266,5.9,Hybrid,Automatic,4,0,Full,Black,41383.43
241,Toyota,Sedan,2019,41599,4.9,Diesel,Automatic,4,0,Full,Blue,42490.8
242,Volvo,Hatchback,2014,20715,5.8,Petrol,Automatic,5,0,Partial,White,41519.18
243,Ford,Sedan,2016,19480,4.5,Electric,Automatic,1,0,Partial,Silver,46825.85
244,Land Rover,Convertible,2007,51768,1.4,Diesel,Automatic,5,0,Partial,Black,47959.31
245,Volvo,Coupe,2004,95353,3.0,Hybrid,Automatic,3,0,Partial,White,32094.76
246,Nissan,Truck,2016,46977,4.2,Petrol,Automatic,3,0,Full,Green,30347.36
247,Tesla,Truck,2019,95925,2.8,Hybrid,Automatic,3,0,Partial,Green,69094.87
248,Tesla,Coupe,2000,15366,2.4,Diesel,Automatic,1,0,Full,Gray,51777.18
249,Land Rover,Convertible,2021,36646,3.9,Petrol,Automatic,4,0,Partial,Gray,50787.05
250,Honda,SUV,2017,29940,5.7,Diesel,Automatic,4,0,Full,Red,41263.37
251,Nissan,Sedan,2014,585,1.2,Petrol,Automatic,0,1,Full,Green,22505.18
252,Land Rover,Convertible,2004,40688,4.8,Diesel,Manual,3,0,Full,Black,53084.79
253,Audi,Hatchback,2006,54165,4.6,Petrol,Automatic,1,0,Full,Green,46467.2
254,Chevrolet,Minivan,2017,44813,5.8,Petrol,Automatic,0,0,Full,Black,33559.6
255,Land Rover,Coupe,2005,66643,5.7,Petrol,Automatic,4,0,Full,Blue,39741.14
256,BMW,Sedan,2021,42354,4.8,Diesel,Automatic,0,1,Full,Gray,51721.92
257,Volvo,Truck,2020,3454,3.6,Diesel,Automatic,3,0,Partial,Black,64266.47
258,Lexus,Minivan,2004,6190,2.0,Diesel,CVT,2,0,Partial,Green,37293.73
259,Jaguar,SUV,2018,45375,3.7,Petrol,Automatic,3,0,None,Black,31501.54
260,Honda,Hatchback,2009,16077,4.8,Diesel,Automatic,3,1,Partial,Gray,21829.36
261,Land Rover,Truck,2014,4149,5.5,Hybrid,Automatic,1,1,Full,White,48157.91
262,Nissan,Coupe,2009,28071,4.9,Petrol,Automatic,2,1,Partial,Blue,15650.29
263,Porsche,Sedan,2015,40407,2.0,Hybrid,Manual,5,0,Full,Gray,59326.47
264,Tesla,Coupe,2011,19930,4.0,Diesel,Automatic,2,0,Full,Silver,75499.06
265,BMW,Minivan,2017,63725,2.7,Hybrid,CVT,2,0,Partial,Green,67473.96
266,Toyota,Sedan,2022,51609,1.0,Petrol,Automatic,4,0,Full,Green,25089.35
267,Ford,Convertible,2000,20234,2.0,Petrol,Manual,0,0,Full,Gray,38564.71
268,Jaguar,SUV,2015,70298,1.6,Hybrid,Automatic,4,0,Partial,Blue,54238.36
269,Hyundai,Convertible,2021,52305,5.2,Hybrid,Automatic,5,0,Partial,Gray,56717.26
270,Honda,Convertible,2005,50729,2.3,Petrol,Manual,2,0,Partial,Blue,17137.8
271,Lexus,Coupe,2002,40307,2.4,Petrol,Automatic,1,1,Full,Green,23505.59
272,Kia,Minivan,2001,572,5.8,Diesel,Automatic,5,0,Partial,White,10824.47
273,Kia,SUV,2001,59619,2.9,Diesel,Automatic,3,0,Partial,Gray,21497.68
274,Jaguar,Sedan,2012,23583,1.0,Hybrid,Automatic,3,0,Partial,Gray,48063.44
275,Land Rover,Sedan,2008,142894,2.4,Petrol,Automatic,4,0,Partial,White,34990.7
276,Audi,Hatchback,2015,85183,1.6,Diesel,Automatic,5,0,Full,Green,44578.14
277,Tesla,Truck,2004,44299,1.5,Petrol,Automatic,4,0,Full,Gray,57742.31
278,Nissan,Hatchback,2022,14529,1.4,Petrol,Automatic,1,0,Partial,White,30085.17
279,Tesla,Hatchback,2020,11390,4.0,Petrol,Automatic,3,1,Partial,Silver,39654.03
280,Toyota,Sedan,2006,20804,1.9,Hybrid,Automatic,4,1,Full,White,17581.87
281,Audi,Coupe,2012,32367,2.8,Diesel,CVT,0,0,Partial,Black,61883.53
282,Ford,Convertible,2019,17553,5.3,Hybrid,Automatic,4,1,Full,Black,24952.5
283,Nissan,Minivan,2023,36173,3.1,Petrol,Manual,4,0,Full,Blue,32639.89
284,Volvo,Convertible,2012,9038,5.6,Petrol,Automatic,2,1,Full,White,49419.58
285,Mercedes,Convertible,2006,190187,3.5,Petrol,Automatic,0,1,Full,Gray,35860.35
286,BMW,SUV,2009,5710,3.0,Petrol,Automatic,0,0,Full,Red,80862.43
287,Tesla,Sedan,2014,134371,4.8,Hybrid,Automatic,1,0,Partial,Green,58193.68
288,Porsche,Minivan,2020,122425,1.4,Petrol,Automatic,2,0,Full,Green,42477.87
289,Tesla,Coupe,2005,37259,1.4,Petrol,Automatic,0,1,Full,Red,36105.18
290,Jaguar,SUV,2004,64532,4.3,Petrol,Automatic,2,0,None,Silver,32469.75
291,Tesla,Truck,2022,28639,3.4,Petrol,Manual,2,0,Full,Silver,77638.2
292,Honda,Coupe,2001,49717,5.0,Hybrid,CVT,3,0,Partial,Red,30528.93
293,Tesla,Hatchback,2020,20819,5.6,Diesel,Automatic,0,0,None,Red,50212.41
294,Mercedes,Coupe,2014,17916,2.9,Hybrid,Automatic,3,0,Full,White,76102.43
